image_i,image_j,keypoints_i,keypoints_j,raw_matches,filtered_matches,ransac_inliers,inlier_ratio,mean_epipolar_error_all,median_epipolar_error_all,mean_epipolar_error_inliers,median_epipolar_error_inliers,max_epipolar_error_inliers,fundamental_matrix
IMG_20260518_203931.jpg,IMG_20260518_203933.jpg,1554,2541,1554,262,202,0.7709923664122137,5.121816592980443,0.3061130439569649,0.2771762576412085,0.22208196019050724,0.9799208618306032,"[[6.75410982832101e-07, 5.610610508793112e-06, -0.032702312628946954], [-3.885579109768231e-06, -3.108091880237106e-07, 0.007022143055990554], [0.031751348040453715, -0.007764750685359591, 0.9999999999999999]]"
IMG_20260518_203946.jpg,IMG_20260518_203948.jpg,1193,1215,1193,196,156,0.7959183673469388,11.813133308118147,0.28510984648871857,0.2895091822992694,0.20628320662376862,0.934314037258471,"[[2.7049380551925456e-07, 0.00011121532050218585, -0.15126970506792392], [-0.00010770788095130118, -1.7689501598403404e-06, 0.06225920517912296], [0.16327222789079712, -0.06751091949970418, 1.0]]"
IMG_20260518_203933.jpg,IMG_20260518_203935.jpg,2541,2691,2541,214,152,0.7102803738317757,25.172599830384634,0.47913080033622013,0.34642692900052174,0.30438650779116627,0.9724353637821708,"[[1.1212878848561371e-07, 1.8454984684369603e-07, -0.001083649479457482], [-1.4734892223179946e-06, 2.2968070677519566e-07, 0.012105051785504205], [0.0010618648152103843, -0.012255262661854286, 1.0]]"
