image_i,image_j,keypoints_i,keypoints_j,raw_matches,filtered_matches,ransac_inliers,inlier_ratio,mean_epipolar_error_all,median_epipolar_error_all,mean_epipolar_error_inliers,median_epipolar_error_inliers,max_epipolar_error_inliers,fundamental_matrix
similar1.jpg,similar10.jpg,521,840,521,77,34,0.44155844155844154,17.412980477861616,1.4128195041937623,0.30008636098572117,0.177668417531253,0.9516443687646898,"[[9.082316846126141e-07, 4.717499671143093e-06, -0.018724125045537703], [-4.082165852647737e-06, -2.172325242227344e-07, 0.007809134980277324], [0.017137017695828326, -0.008374035986312143, 1.0]]"
similar1.jpg,similar2.jpg,521,2541,521,3,0,0.0,,,,,,
similar1.jpg,similar3.jpg,521,1554,521,8,0,0.0,,,,,,
similar1.jpg,similar4.jpg,521,965,521,7,0,0.0,,,,,,
similar1.jpg,similar5.jpg,521,487,521,12,7,0.5833333333333334,102.61003076062364,3.705037067553037e-13,1.5190967515829805e-13,1.4838045554532914e-13,5.367945612760675e-13,"[[4.862550591302877e-06, -4.45735350987306e-07, -0.005379488509997368], [7.171010484792796e-07, -1.121111112486876e-06, -0.0009102942475953054], [-0.0006241449220631241, 0.002850018965651778, 1.0]]"
similar1.jpg,similar6.jpg,521,679,521,13,7,0.5384615384615384,53.82964719657255,1.3861140541918046e-13,4.999501180205953e-14,0.0,1.3861140541918046e-13,"[[-2.4546872750199035e-09, 3.736365150982537e-07, -1.3123256414120755e-05], [2.3137562330215622e-07, 1.3934921576413019e-06, -0.0030728346823909462], [-8.183842940562831e-05, 0.0002451063995207401, 1.0]]"
similar1.jpg,similar7.jpg,521,845,521,9,7,0.7777777777777778,82.10569167662028,1.960817848456357e-13,1.7037457879627984e-13,1.8747341501221114e-13,3.7605877072890154e-13,"[[-9.815306095125399e-07, -1.9848056451480957e-06, 0.0022927173190788767], [3.5155897133131647e-06, 7.280393774253869e-08, -0.0009419772879412319], [-0.002562150265782084, -0.0003564724085403708, 0.9999999999999999]]"
similar1.jpg,similar8.jpg,521,565,521,17,9,0.5294117647058824,68.79002476150205,0.3038165703936658,0.050712957238738726,3.6597234281965506e-13,0.3038165703936658,"[[4.3637342630628116e-05, 4.365818374619793e-05, -0.04536497752066172], [-9.500089115429716e-05, 1.8532170743509956e-05, 0.002841036560769378], [0.05632330330975611, -0.014165708136120506, 1.0]]"
similar1.jpg,similar9.jpg,521,705,521,32,16,0.5,24.99700620809835,0.987683908866888,0.23449258111340832,0.010831752443208047,0.8360643719064766,"[[9.32206275266127e-07, 4.513375805279181e-06, -0.01223938552336825], [-4.0487603224507155e-06, -2.195910775824527e-07, 0.005256937236700305], [0.010526739194599264, -0.0053643736461056035, 1.0]]"
similar10.jpg,similar2.jpg,840,2541,840,8,7,0.875,16.356338061611165,1.955864332967869e-13,6.134600945691948e-13,1.4713809155747123e-13,3.2105743722156295e-12,"[[2.7599375466093763e-06, -4.3245151305795804e-07, -0.0011772793768655857], [8.138507433078581e-07, -2.6924376003686364e-07, -0.00023195803532724115], [-0.0022895194463668296, 0.0003299762824235566, 0.9999999999999999]]"
similar10.jpg,similar3.jpg,840,1554,840,10,7,0.7,67.90127284658114,2.3909014542242473e-13,1.6701250462690808e-13,1.6960586309161958e-13,3.025290682865069e-13,"[[4.203593997576113e-06, 8.616952975036301e-06, -0.008673154221005713], [-7.501735870080779e-06, -4.190458704615818e-07, 0.002291918651427072], [0.0037771536989226985, -0.0022325524964855463, 1.0]]"
