iteration,image,pnp_correspondences,pnp_inliers,pnp_inlier_ratio,coverage_score,mean_track_length,median_reprojection_error_px,p90_reprojection_error_px,hard_gate_passed,score,selected,reason
7,IMG_20260516_152855.jpg,18,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
7,IMG_20260516_152855_1.jpg,11,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
7,IMG_20260516_152856.jpg,8,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
7,IMG_20260516_153313.jpg,530,445,0.839622641509434,0.625,3.8,2.5772240966606734,4.635379191618798,True,445,True,
8,IMG_20260516_152840.jpg,16,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
8,IMG_20260516_152841.jpg,10,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
8,IMG_20260516_152842.jpg,19,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
8,IMG_20260516_152843.jpg,20,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
8,IMG_20260516_152845.jpg,20,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
8,IMG_20260516_152846.jpg,13,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
8,IMG_20260516_152853.jpg,18,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
8,IMG_20260516_152853_1.jpg,17,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
8,IMG_20260516_152854.jpg,15,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
8,IMG_20260516_152854_1.jpg,16,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
8,IMG_20260516_152855.jpg,22,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
8,IMG_20260516_152855_1.jpg,14,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
8,IMG_20260516_152856.jpg,11,0,0.0,0.0,0.0,,,False,0.0,False,too few 2D-3D correspondences
