image_i,image_j,keypoints_i,keypoints_j,raw_matches,filtered_matches,ransac_inliers,inlier_ratio,mean_epipolar_error_all,median_epipolar_error_all,mean_epipolar_error_inliers,median_epipolar_error_inliers,max_epipolar_error_inliers,fundamental_matrix
IMG_20260518_203445.jpg,IMG_20260518_203447.jpg,833,764,833,276,195,0.7065217391304348,8.821566504203053,0.47817264251758207,0.33957408454720506,0.2966163410119711,0.8953994228551582,"[[2.778336876857051e-07, -7.836057437446637e-06, 0.0267182361290364], [9.50614921090448e-06, 2.8779427912251916e-07, -0.0014384452951119212], [-0.027391941475405718, 9.260598043528421e-05, 1.0]]"
IMG_20260518_203514.jpg,IMG_20260518_203515.jpg,742,733,742,281,191,0.6797153024911032,3.98847861793722,0.4820747505684356,0.3306903506787144,0.26740968592040176,0.9634851076797672,"[[8.127540510689234e-07, 1.0048874138966096e-05, -0.04323447478955247], [-7.627404085249433e-06, -3.7539657453607683e-07, 0.010761858790901026], [0.0405043148272697, -0.011835008461638305, 1.0]]"
IMG_20260518_203515.jpg,IMG_20260518_203517.jpg,733,747,733,248,168,0.6774193548387096,6.251765258734088,0.7191203059973841,0.46439367854888997,0.5077337366923984,0.9559600166911586,"[[1.7118054181311923e-06, -6.267610634139278e-06, -0.07061044558814408], [9.644257626641336e-06, -1.6125506519023527e-06, 0.025789204243583663], [0.06636633053667594, -0.025135046494977168, 1.0]]"
